Brand,Scarpe,Categoria,Prezzo reale,Prezzo scontato,In sconto,Dettaglio/Colore
Azienda G,U WALK PLEASURE ,Stringate,169.9,169.9,False,navy
Azienda G,FLEXTRIDE PLUS,Sneakers basse,99.9,99.9,False,light olive green
Azienda G,U WALEE,Sneakers basse,94.99,94.99,False,blau
Azienda G,U SPHERICA PLUS,Sneakers basse,109.99,92.99,True,dark grey
Azienda G,MOKASSIN U ISTRIA  BLAU,Scarpe senza lacci,99.0,84.0,True,navy
Azienda G,SPHERICA,Sneakers basse,99.9,99.9,False,light navy
Azienda G,U FLEXTRIDE R,Sneakers basse,99.9,99.9,False,musk
Azienda G,Sneakers basse,multi-coloured,101.15,101.15,False,
Azienda G,FLEXTRIDE ,Sneakers basse,99.9,99.9,False,anthracite
Azienda G,U REGIO,Sneakers basse,139.9,139.9,False,cognac
Azienda G,U FLEXTRIDE R C9999 VAR,Sneakers basse,99.9,99.9,False,screziato-mottled black
Azienda G,U65H5A0BU11,Sneakers basse,99.0,79.2,True,blue
Azienda C,SWIFT,Sneakers basse,120.0,102.0,True,white
Azienda G,Sneakers basse,navy,109.9,109.9,False,
Azienda G,SPHERICA,Sneakers basse,99.9,99.9,False,black
Azienda C,DESERT,Stringate sportive,119.99,119.99,False,cola
Azienda C,DESERT,Stringate sportive,119.99,107.99,True,brown
Azienda G,SPHERICA ACTIF X4,Sneakers basse,119.0,101.0,True,white
Azienda C,TORHILL LO,Stringate sportive,119.99,101.99,True,green
Azienda C,LOCKFORD,Stringate sportive,89.95,89.95,False,light blue
Azienda C,WALLABEE,Stringate sportive,104.0,104.0,False,maple
Azienda G,U SPHERICA ECUB-1 B,Sneakers basse,139.9,139.9,False,light brown
Azienda G,U SPHERICA ACTIF X1,Sneakers basse,119.0,101.0,True,sand
Azienda G,U BALTMOORE,Scarpe skate,99.9,99.9,False,white
Azienda G,FLEXTRIDE,Scarpe da barca,99.99,84.99,True,sand
Azienda G,SNAKE,Sneakers basse,109.99,70.99,True,blue
Azienda G,SPHERICA ACTIF,Sneakers basse,119.9,119.9,False,navy dark avio
Azienda C,DESERT,Stivaletti stringati,119.99,119.99,False,beeswax
Azienda G,FLEXTRIDE PLUS,Sneakers basse,109.9,109.9,False,sand umaac
Azienda G,BALTMOORE,Sneakers basse,99.0,79.2,True,sand
Azienda C,CHARMOUTH LACE,Scarpe da barca,89.99,89.99,False,tan
Azienda G,U BALTMOORE,Sneakers basse,84.99,84.99,False,navy
Azienda G,UOMO SNAKE,Scarpe senza lacci,99.99,84.99,True,dark grey/off white
Azienda C,TORHILL LACE,Stringate sportive,119.7,119.7,False,navy
