Scarpe,Categoria,Prezzo reale,Prezzo scontato,Materiale,In sconto,Materiale_pulito,Macro_categoria,Micro_categoria,Brand
Desert Trek,Scarpe Originals da Uomo,130.0,130.0,Camoscio nero,False,Camoscio,Scarpe eleganti,Stringate / Derby,C
Wallabee,Scarpe Originals da Uomo,130.0,130.0,Coca Cola,False,Non specificato,Scarpe eleganti,Stringate / Derby,C
Wallabee,Scarpe Originals da Uomo,130.0,130.0,Pelle scamosciata marrone scuro,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Wallabee,Scarpe Originals da Uomo,130.0,130.0,Camoscio nero,False,Camoscio,Scarpe eleganti,Stringate / Derby,C
Siena Zip,Scarpe da uomo,110.0,110.0,Pelle marrone,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Siena Zip,Scarpe da uomo,110.0,110.0,Pelle nera,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Siena Easy,Scarpe da uomo,110.0,110.0,Pelle marrone,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Siena Easy,Scarpe da uomo,110.0,110.0,Pelle nera,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Murano Easy,Scarpe da uomo,110.0,110.0,Pelle marrone chiaro,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Murano Easy,Scarpe da uomo,110.0,110.0,Nabuk marrone scuro,False,Nabuk,Scarpe eleganti,Stringate / Derby,C
Craft Emile,Scarpe da uomo,120.0,120.0,Pelle nera,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Seco Speed,Scarpe sportive da uomo,90.0,90.0,Cola scamosciata,False,Non specificato,Sneakers,Sneakers basse,C
Flexway 2 Eye,Scarpe da uomo,80.0,80.0,Nabuk blu scuro,False,Nabuk,Scarpe eleganti,Stringate / Derby,C
Flexway 2 Eye,Scarpe da uomo,80.0,80.0,Nabuk marrone,False,Nabuk,Scarpe eleganti,Stringate / Derby,C
Brantin Plain,Scarpe da uomo,85.0,85.0,Maglia blu scuro,False,Maglia,Scarpe eleganti,Stringate / Derby,C
Torview,Scarpe da uomo,130.0,130.0,Pelle bianco sporco,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Brodin Seam,Scarpe da uomo,80.0,80.0,Marina Militare,False,Non specificato,Scarpe eleganti,Stringate / Derby,C
Radwell Tie,Scarpe da uomo,100.0,100.0,Pelle marrone,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Goswell Tie,Scarpe da uomo,100.0,100.0,Pelle marrone chiaro,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Goswell Tie,Scarpe da uomo,100.0,100.0,Pelle nera,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Walla Yukoner,Scarpe Originals da Uomo,190.0,190.0,Pelle marrone,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Clarks Pace,Scarpe sportive da uomo,130.0,130.0,Saggio,False,Non specificato,Sneakers,Sneakers basse,C
Clarks Pace,Scarpe sportive da uomo,130.0,130.0,Blu,False,Non specificato,Sneakers,Sneakers basse,C
Craft Remi Tip,Scarpe da uomo,120.0,120.0,Pelle marrone chiaro,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Craft Remi Lace,Scarpe da uomo,120.0,120.0,Pelle nera,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Craft James LT,Scarpe da uomo,150.0,150.0,Camoscio Sabbia Scuro,False,Camoscio,Scarpe eleganti,Stringate / Derby,C
Craft James LT,Scarpe da uomo,150.0,150.0,Pelle scamosciata marrone,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Cleyhill Boat,Scarpe da uomo,120.0,120.0,Combinazione di olive,False,Non specificato,Scarpe eleganti,Stringate / Derby,C
Cleyhill Boat,Scarpe da uomo,120.0,120.0,Pelle marrone,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Torview,Scarpe da uomo,140.0,140.0,Combinazione della Marina,False,Non specificato,Scarpe eleganti,Stringate / Derby,C
Torview,Scarpe da uomo,140.0,140.0,Multicolore,False,Non specificato,Scarpe eleganti,Stringate / Derby,C
Torhill Lo,Scarpe da uomo,120.0,120.0,Pelle blu scuro,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Yukoner Penny,Scarpe Originals da Uomo,190.0,190.0,Pelle mista marrone,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Walla Yukoner,Scarpe Originals da Uomo,190.0,190.0,Pelle nera,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Wallabee,Scarpe Originals Icon da Uomo,160.0,160.0,Stampa tigre,False,Non specificato,Scarpe eleganti,Stringate / Derby,C
Desert Trek,Scarpe Originals Icon da Uomo,150.0,150.0,Leopardato,False,Non specificato,Scarpe eleganti,Stringate / Derby,C
Wallabee,Scarpe Originals Icon da Uomo,150.0,150.0,Blue/Green Stripe,False,Non specificato,Scarpe eleganti,Stringate / Derby,C
Molland Go,Scarpe sportive da uomo,80.0,80.0,Combinazione di olive,False,Non specificato,Sneakers,Sneakers basse,C
Paulton Over,Scarpe da uomo,100.0,100.0,Pelle nera,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Paulton Cap,Scarpe da uomo,100.0,100.0,Pelle nera,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Coxley Mule,Pantofole da Uomo,50.0,50.0,Grigio,False,Non specificato,Ciabatte & Pantofole,Pantofole,C
Romsey Lace,Scarpe sportive da uomo,80.0,80.0,Nero bianco,False,Non specificato,Sneakers,Sneakers basse,C
Motion Trek LX,Scarpe da uomo,85.0,85.0,Pelle nera,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Craftwell Step,Scarpe da uomo,80.0,80.0,Pelle marrone chiaro,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Craftwell Step,Scarpe da uomo,80.0,80.0,Nero burattato,False,Non specificato,Scarpe eleganti,Stringate / Derby,C
Craftwell Lace,Scarpe da uomo,80.0,80.0,Pelle marrone chiaro,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Craftwell Lace,Scarpe da uomo,80.0,80.0,Pelle nera,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Clarks Pace,Scarpe sportive da uomo,130.0,130.0,Nero,False,Non specificato,Sneakers,Sneakers basse,C
Spypath Step,Scarpe da uomo,120.0,120.0,Pelle di cera d'api,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Spypath Ox,Scarpe da uomo,120.0,120.0,Nabuk blu scuro,False,Nabuk,Scarpe eleganti,Stringate / Derby,C
Spypath Ox,Scarpe da uomo,120.0,120.0,Pelle di cera d'api,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Clarks Pace,Scarpe sportive da uomo,130.0,130.0,Marina Militare,False,Non specificato,Sneakers,Sneakers basse,C
Mullan Easy,Scarpe da uomo,130.0,130.0,Pelle marrone scuro,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Mullan Step,Scarpe da uomo,130.0,130.0,Pelle nera,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Banbury Derby,Scarpe da uomo,80.0,80.0,Pelle marrone chiaro,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Desert Trek,Scarpe Originals Icon da Uomo,150.0,150.0,Pelle scamosciata marrone,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Meare Walla,Scarpe Originals Icon da Uomo,130.0,130.0,Camoscio nero,False,Camoscio,Scarpe eleganti,Stringate / Derby,C
Berwick Lace,Scarpe da uomo,85.0,85.0,Pelle nera,False,Pelle,Scarpe eleganti,Stringate / Derby,C
