Scarpe,Categoria,Prezzo reale,Prezzo scontato,Materiale,In sconto,Materiale_pulito,Macro_categoria,Micro_categoria,Brand
Un Abode Ease,Scarpe da uomo,130.0,130.0,Pelle nera,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Un Abode Ease,Scarpe da uomo,139.0,139.0,Pelle marrone chiaro scuro,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Cotrell Free,Scarpe da uomo,80.0,80.0,Pelle grassa nera,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Orson Sail,Scarpe sportive da uomo,120.0,120.0,Combinazione della Marina,False,Non specificato,Sneakers,Sneakers basse,C
Orson Sail,Scarpe sportive da uomo,120.0,120.0,Pelle marrone,False,Pelle,Sneakers,Sneakers basse,C
Winsford Easy,Scarpe da uomo,74.95,74.95,Camoscio Sabbia,False,Camoscio,Scarpe eleganti,Stringate / Derby,C
Winsford Easy,Scarpe da uomo,74.95,74.95,Pelle scamosciata marrone,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Lockford Easy,Scarpe da uomo,90.0,90.0,Camoscio Sabbia Scuro,False,Camoscio,Scarpe eleganti,Stringate / Derby,C
Cleyhill Boat,Scarpe da uomo,120.0,120.0,Combinazione di sabbia scura,False,Non specificato,Scarpe eleganti,Stringate / Derby,C
Torhill Lace,Scarpe da uomo,120.0,120.0,Nabuk Sabbia Scuro,False,Nabuk,Scarpe eleganti,Stringate / Derby,C
Aldwin Step Loafer,Scarpe da uomo,110.0,110.0,Pelle marrone chiaro,False,Pelle,Scarpe eleganti,Stringate / Derby,C
Motion Trek PT,Scarpe da uomo,89.95,71.96,Pelle marrone chiaro scuro,True,Pelle,Scarpe eleganti,Stringate / Derby,C
Motion Trek PT,Scarpe da uomo,89.95,71.96,Pelle nera,True,Pelle,Scarpe eleganti,Stringate / Derby,C
