Brand,Scarpe,Categoria,Prezzo reale,Prezzo scontato,In sconto,Dettaglio/Colore,Macro_categoria,Micro_categoria
G,Snake,Scarpe senza lacci,91.18,91.18,False,beige/dark orange,Sneakers,Sneakers basse
G,Dark Blue,Sneakers basse,63.9,63.9,False,,Sneakers,Sneakers basse
C,Howard Walk,Stringate eleganti,99.99,99.99,False,black,Scarpe eleganti,Stringate / Derby
NG,Bianco,Sneakers basse,109.99,109.99,False,,Sneakers,Sneakers basse
G,Spherica Plus,Sneakers basse,109.9,109.9,False,black,Sneakers,Sneakers basse
C,Pace,Sneakers basse,129.99,83.99,True,sage,Sneakers,Sneakers basse
G,Flextride Plus,Sneakers basse,109.99,92.99,True,navy,Sneakers,Sneakers basse
C,Lockford Lace,Sneakers basse,89.99,66.99,True,dark sand,Sneakers,Sneakers basse
NG,Incanto,Sneakers basse,139.0,109.99,True,,Sneakers,Sneakers basse
G,Deiven,Sneakers basse,109.9,79.5,True,white,Sneakers,Sneakers basse
C,Desert,Stringate sportive,129.99,96.99,True,sand,Sneakers,Sneakers basse
G,Spherica,Sneakers basse,109.9,109.9,False,navy,Sneakers,Sneakers basse
G,Snake Original,Sneakers basse,109.9,109.9,False,avio,Sneakers,Sneakers basse
G,Black,Stringate eleganti,99.99,84.99,True,,Scarpe eleganti,Stringate / Derby
C,Derby Steadwell,Stringate eleganti,82.94,82.94,False,nero,Scarpe eleganti,Stringate / Derby
G,Flextride S,Ciabattine,89.9,89.9,False,musk,Ciabatte & Pantofole,Ciabatte
G,Flextride,Sneakers basse,99.9,99.9,False,white light grey,Sneakers,Sneakers basse
C,Torhill Lo,Stringate sportive,119.9,107.91,True,black,Sneakers,Sneakers basse
G,Browncotto,Sneakers basse,109.99,92.99,True,,Sneakers,Sneakers basse
NG,Blu,Sneakers basse,199.9,158.95,True,,Sneakers,Sneakers basse
G,Velletri,Sneakers basse,139.9,139.9,False,cognac,Sneakers,Sneakers basse
G,U65Mac01022,Sneakers basse,99.0,79.2,True,beige,Sneakers,Sneakers basse
G,Flextride Plus,Sneakers basse,87.9,87.9,False,dove grey,Sneakers,Sneakers basse
G,Spherica Plus,Sneakers basse,104.99,104.99,False,papyrus,Sneakers,Sneakers basse
C,Wallabee,Stringate sportive,129.99,101.99,True,black,Sneakers,Sneakers basse
G,Flextride Plus,Sneakers basse,99.9,99.9,False,jeans,Sneakers,Sneakers basse
G,Spherica Ecub,Scarpe senza lacci,119.9,119.9,False,sand,Sneakers,Sneakers basse
G,Snake Original,Sneakers basse,109.9,109.9,False,green,Sneakers,Sneakers basse
C,Desert,Stringate sportive,119.99,119.99,False,black,Sneakers,Sneakers basse
G,Gladwin,Stringate eleganti,99.9,99.9,False,black (u024wa00043c9999),Scarpe eleganti,Stringate / Derby
G,Barberigo,Stringate,145.0,145.0,False,black,Scarpe eleganti,Stringate / Derby
C,Howard Edge G,Mocassini eleganti,99.99,99.99,False,black,Mocassini,Mocassini
G,Simon,Scarpe senza lacci,99.99,74.99,True,black,Sneakers,Sneakers basse
G,Spherica Actif,Sneakers basse,119.9,119.9,False,navy black,Sneakers,Sneakers basse
G,Dark Coffee,Sandali da trekking,99.99,99.99,False,,Sandali,Sandali sportivi
C,Wallabee,Stringate sportive,139.99,96.99,True,black,Sneakers,Sneakers basse
G,Flextride,Sneakers basse,99.0,84.0,True,dove grey,Sneakers,Sneakers basse
G,Claudio,Stringate sportive,74.9,74.9,False,dk coffee c6024,Sneakers,Sneakers basse
G,Walk Pleasure,Stringate,169.9,169.9,False,navy,Scarpe eleganti,Stringate / Derby
G,Flextride Plus,Sneakers basse,99.9,99.9,False,light olive green,Sneakers,Sneakers basse
G,Walee,Sneakers basse,94.99,94.99,False,blau,Sneakers,Sneakers basse
G,Spherica Plus,Sneakers basse,109.99,92.99,True,dark grey,Sneakers,Sneakers basse
G,Mokassin U Istria  Blau,Scarpe senza lacci,99.0,84.0,True,navy,Sneakers,Sneakers basse
G,Spherica,Sneakers basse,99.9,99.9,False,light navy,Sneakers,Sneakers basse
G,Flextride R,Sneakers basse,99.9,99.9,False,musk,Sneakers,Sneakers basse
G,Multi-Coloured,Sneakers basse,101.15,101.15,False,,Sneakers,Sneakers basse
G,Flextride,Sneakers basse,99.9,99.9,False,anthracite,Sneakers,Sneakers basse
G,Regio,Sneakers basse,139.9,139.9,False,cognac,Sneakers,Sneakers basse
G,Flextride R,Sneakers basse,99.9,99.9,False,screziato-mottled black,Sneakers,Sneakers basse
G,U65H5A0Bu11,Sneakers basse,99.0,79.2,True,blue,Sneakers,Sneakers basse
C,Swift,Sneakers basse,120.0,102.0,True,white,Sneakers,Sneakers basse
G,Navy,Sneakers basse,109.9,109.9,False,,Sneakers,Sneakers basse
G,Spherica,Sneakers basse,99.9,99.9,False,black,Sneakers,Sneakers basse
C,Desert,Stringate sportive,119.99,119.99,False,cola,Sneakers,Sneakers basse
C,Desert,Stringate sportive,119.99,107.99,True,brown,Sneakers,Sneakers basse
G,Spherica Actif X4,Sneakers basse,119.0,101.0,True,white,Sneakers,Sneakers basse
C,Torhill Lo,Stringate sportive,119.99,101.99,True,green,Sneakers,Sneakers basse
C,Lockford,Stringate sportive,89.95,89.95,False,light blue,Sneakers,Sneakers basse
C,Wallabee,Stringate sportive,104.0,104.0,False,maple,Sneakers,Sneakers basse
G,Spherica Ecub-1 B,Sneakers basse,139.9,139.9,False,light brown,Sneakers,Sneakers basse
G,Spherica Actif X1,Sneakers basse,119.0,101.0,True,sand,Sneakers,Sneakers basse
G,Baltmoore,Scarpe skate,99.9,99.9,False,white,Sneakers,Sneakers basse
G,Flextride,Scarpe da barca,99.99,84.99,True,sand,Mocassini,Boat shoes
G,Snake,Sneakers basse,109.99,70.99,True,blue,Sneakers,Sneakers basse
G,Spherica Actif,Sneakers basse,119.9,119.9,False,navy dark avio,Sneakers,Sneakers basse
C,Desert,Stivaletti stringati,119.99,119.99,False,beeswax,Stivali & Stivaletti,Stivaletti
G,Flextride Plus,Sneakers basse,109.9,109.9,False,sand umaac,Sneakers,Sneakers basse
G,Baltmoore,Sneakers basse,99.0,79.2,True,sand,Sneakers,Sneakers basse
C,Charmouth Lace,Scarpe da barca,89.99,89.99,False,tan,Mocassini,Boat shoes
G,Baltmoore,Sneakers basse,84.99,84.99,False,navy,Sneakers,Sneakers basse
G,Snake,Scarpe senza lacci,99.99,84.99,True,dark grey/off white,Sneakers,Sneakers basse
C,Torhill Lace,Stringate sportive,119.7,119.7,False,navy,Sneakers,Sneakers basse
G,Barberigo,Stringate,139.99,118.99,True,black,Scarpe eleganti,Stringate / Derby
G,Flextride Plus,Scarpe senza lacci,92.5,92.5,False,black,Sneakers,Sneakers basse
C,Un Costa Lace,Sneakers basse,110.0,110.0,False,british tan,Sneakers,Sneakers basse
G,Navy,Sneakers basse,139.9,139.9,False,,Sneakers,Sneakers basse
C,Cleyhill,Scarpe da barca,119.99,119.99,False,brown,Mocassini,Boat shoes
NG,Blu,Stringate eleganti,143.55,143.55,False,,Scarpe eleganti,Stringate / Derby
G,Flextride Plus,Scarpe senza lacci,109.9,109.9,False,white,Sneakers,Sneakers basse
G,Plus,Sneakers basse,139.99,104.99,True,navy/blue,Sneakers,Sneakers basse
C,Khaki,Sneakers basse,74.99,74.99,False,,Sneakers,Sneakers basse
C,Torhill Lo,Stringate sportive,109.99,92.99,True,navy,Sneakers,Sneakers basse
G,Barberigo,Stringate,139.99,118.99,True,coffee,Scarpe eleganti,Stringate / Derby
C,Torhill Lo,Stringate sportive,109.99,92.99,True,white,Sneakers,Sneakers basse
G,Flextride Plus,Scarpe senza lacci,109.9,109.9,False,navy,Sneakers,Sneakers basse
G,Brown,Scarpe senza lacci,74.9,74.9,False,,Sneakers,Sneakers basse
C,Off White Suede G,Sneakers basse,109.99,92.99,True,,Sneakers,Sneakers basse
C,Sneaker,Sneakers basse,79.0,70.0,True,navy,Sneakers,Sneakers basse
C,Cleyhill,Stringate sportive,119.99,89.99,True,black,Sneakers,Sneakers basse
C,Lifestyle-Solevana Style,Sneakers basse,85.0,85.0,False,sand g,Sneakers,Sneakers basse
G,Spherica Ec,Mocassini,119.99,101.99,True,dark navy,Mocassini,Mocassini
G,Deiven,Sneakers basse,109.9,109.9,False,light brown,Sneakers,Sneakers basse
G,Plus,Sneakers basse,139.99,83.99,True,sand/yellow,Sneakers,Sneakers basse
G,Spherica Ec12,Sneakers basse,119.9,119.9,False,navy,Sneakers,Sneakers basse
G,Spherica,Sneakers basse,99.9,99.9,False,light grey grey,Sneakers,Sneakers basse
C,Pace Rise,Sneakers basse,129.99,70.99,True,white,Sneakers,Sneakers basse
G,Spherica,Sneakers basse,129.9,129.9,False,cognac,Sneakers,Sneakers basse
C,Torhill Lo,Stringate sportive,119.99,89.99,True,red,Sneakers,Sneakers basse
C,Lockford Easy,Scarpe senza lacci,81.0,81.0,False,navy leather,Sneakers,Sneakers basse
C,Charmouth Lace,Scarpe da barca,89.99,89.99,False,brown,Mocassini,Boat shoes
C,Torhill Lo,Stringate sportive,109.99,109.99,False,cola suede,Sneakers,Sneakers basse
C,Desert,Stringate sportive,129.99,96.99,True,sand,Sneakers,Sneakers basse
NG,Incanto,Sneakers basse,145.0,123.0,True,,Sneakers,Sneakers basse
C,Lite Run,Sneakers basse,109.0,96.0,True,blau,Sneakers,Sneakers basse
C,Pace Rise,Sneakers basse,90.99,90.99,False,black,Sneakers,Sneakers basse
G,Serifos,Sneakers basse,99.9,99.9,False,dark blue,Sneakers,Sneakers basse
G,Walk Pleasure B,Stringate eleganti,169.9,169.9,False,cognac,Scarpe eleganti,Stringate / Derby
C,Cleyhill,Scarpe da barca,119.99,89.99,True,navy,Mocassini,Boat shoes
G,Flextride R,Sneakers basse,99.9,99.9,False,navy,Sneakers,Sneakers basse
C,Courtlite2 Run,Sneakers basse,120.0,95.0,True,olive,Sneakers,Sneakers basse
G,Blau,Mocassini,119.9,119.9,False,,Mocassini,Mocassini
G,Aerantis Plus,Sneakers basse,149.99,111.99,True,white,Sneakers,Sneakers basse
G,Siron,Scarpe senza lacci,99.0,84.15,True,dove grey,Sneakers,Sneakers basse
G,Recanati,Mocassini eleganti,129.9,129.9,False,wine,Mocassini,Mocassini
G,Capitale,Stringate eleganti,199.9,199.9,False,black,Scarpe eleganti,Stringate / Derby
C,Wallabee,Stringate sportive,139.99,96.99,True,maple,Sneakers,Sneakers basse
G,Braun,Mocassini,119.9,119.9,False,,Mocassini,Mocassini
G,Black Military,Sneakers basse,119.9,119.9,False,,Sneakers,Sneakers basse
G,Serifos,Sneakers basse,89.9,89.9,False,dove grey,Sneakers,Sneakers basse
G,Spherica,Sneakers basse,103.9,103.9,False,black,Sneakers,Sneakers basse
C,Torhill Lo Eu,Stringate sportive,108.0,108.0,False,blau,Sneakers,Sneakers basse
